,dataset,lib,model,num_rows,num_cols,num_sampled_rows,device,num_epochs,train_time_sec,sample_time_sec,peak_memory_mb,synthesizer_size,synthetic_dataset_size_mb_deep,train_dataset_size_mb_deep,synthetic_dataset_size_mb,train_dataset_size_mb
27,covtype,GRETEL_0.20.0,actgan_gretel,464809,56,464809,GPU,300,25297.03884792328,70.22103929519653,2838.488532,968.221238,208.23456,211.952904,208.23456,211.952904
28,covtype,SDV_1.2.1,ctgan_sdv,464809,55,581012,CPU,300,34465.16842317581,101.74113488197327,2795.060875,868.57127,255.645408,208.234432,255.645408,208.234432
29,covtype,SDV_1.2.1,tvae_sdv,464809,55,581012,CPU,300,18044.29697728157,66.11008524894714,2795.059034,1.264884,255.645408,208.234432,255.645408,208.234432
30,covtype,SDV_1.2.1,gaussian_copula_sdv,464809,55,581012,CPU,0,310.0449905395508,109.32097268104553,2097.452491,0.501653,255.645408,208.234432,255.645408,208.234432
31,covtype,synthcity==0.2.9,arf_syn,464809,55,581012,cuda,0,45131.39737081528,20004.7868309021,20945.243966,6892.086834,260.293376,208.234432,260.293376,208.234432
32,covtype,synthcity==0.2.9,ddpm_syn,464809,55,581012,cuda,5000,118270.3781569004,10839.105222463608,2116.727556,109.720301,260.293376,208.234432,260.293376,208.234432
33,covtype,synthcity==0.2.9,rtvae_syn,464809,55,581012,cuda,300,44889.61330866814,99.4164605140686,3109.798841,919.328901,260.293376,208.234432,260.293376,208.234432
34,credit,GRETEL_0.20.0,actgan_gretel,227845,30,227845,GPU,300,8967.253480672836,22.078449010849,1093.606376,329.173317,54.682928,56.50556,54.682928,56.50556
35,credit,SDV_1.2.1,ctgan_sdv,227845,30,284807,CPU,300,11258.270307540894,18.948731422424316,1035.22463,327.824054,68.353808,56.50556,68.353808,56.50556
36,credit,SDV_1.2.1,tvae_sdv,227845,30,284807,CPU,300,6718.186250209808,14.759176015853882,1035.222836,0.777257,68.353808,56.50556,68.353808,56.50556
37,credit,SDV_1.2.1,gaussian_copula_sdv,227845,30,284807,CPU,0,182.9444546699524,24.84272575378418,561.19919,0.266357,68.353808,56.50556,68.353808,56.50556
38,credit,synthcity==0.2.9,ctgan_syn,227845,30,284807,cpu,300,89626.668571949,140.2764663696289,1897.861075,167.599348,70.632136,56.50556,70.632136,56.50556
39,credit,synthcity==0.2.9,tvae_syn,227845,30,284807,cpu,300,40325.7808740139,54.29864287376404,1897.842318,171.064619,70.632136,56.50556,70.632136,56.50556
40,credit,synthcity==0.2.9,arf_syn,227845,30,284807,cpu,0,9503.303507328033,2485.023380279541,12287.730712,2631.409685,70.632136,56.50556,70.632136,56.50556
41,credit,synthcity==0.2.9,rtvae_syn,227845,30,284807,cpu,300,91379.8941617012,644.3393542766571,1897.840788,171.064624,70.632136,56.50556,70.632136,56.50556
42,insurance,GRETEL_0.20.0,actgan_gretel,16000,28,16000,GPU,300,575.1699991226196,1.5950639247894287,45.965414,17.295643,20.675484,20.788438,2.800128,2.928
43,insurance,SDV_1.2.1,tvae_sdv,16000,28,-99,GPU,300,772.4726481437683,39.29868698120117,43099.608133,67.116968,25.086384,20.111955,3.500128,2.928
44,insurance,SDV_1.2.1,gaussian_copula_sdv,16000,27,20000,CPU,0,13.465811967849731,1.7341723442077637,36.17379,0.235393,24.990921,19.983955,3.340128,2.8
45,insurance,synthcity==0.2.9,ctgan_syn,16000,27,20000,cpu,300,1805.5282092094421,1.4365384578704834,123.965995,50.884597,25.845193,20.660438,3.5,2.8
46,insurance,synthcity==0.2.9,tvae_syn,16000,27,20000,cpu,300,4288.600059509277,4.651338815689087,124.461128,57.506387,25.835544,20.660438,3.5,2.8
47,insurance,synthcity==0.2.9,goggle_syn,16000,27,20000,cpu,300,3193.4261260032654,157.55870389938354,105.520733,2.560964,25.671289,20.660438,3.5,2.8
48,insurance,synthcity==0.2.9,arf_syn,16000,27,20000,cuda,0,715.6197986602783,335.93341088294983,741.157193,262.571478,25.837498,20.660438,3.5,2.8
49,insurance,synthcity==0.2.9,ddpm_syn,16000,27,20000,cuda,5000,3152.6243464946747,247.55671572685242,96.438931,5.678757,25.838141,20.660438,3.5,2.8
50,insurance,synthcity==0.2.9,nflow_syn,16000,27,20000,cuda,3000,1595.9826819896698,3.312544584274292,104.234656,1.948059,25.812783,20.660438,3.5,2.8
51,insurance,synthcity==0.2.9,rtvae_syn,16000,27,20000,cuda,300,1018.9034705162048,1.9694182872772217,124.471521,57.50647,25.830838,20.660438,3.5,2.8
52,health_insurance,GRETEL_0.20.0,actgan_gretel,1070,7,1070,CPU,300,64.3628568649292,0.2417311668395996,2.575148,0.989538,0.234866,0.24308,0.060048,0.06848
53,health_insurance,SDV_1.2.1,ctgan_sdv,1070,7,1338,CPU,300,24.41493248939514,0.18914246559143066,2.309114,1.107998,0.293731,0.24308,0.075056,0.06848
54,health_insurance,SDV_1.2.1,tvae_sdv,1070,7,1338,CPU,300,11.382400512695312,0.1403203010559082,2.076892,0.265026,0.293229,0.24308,0.075056,0.06848
55,health_insurance,SDV_1.2.1,gaussian_copula_sdv,1070,7,1338,CPU,0,1.5321803092956543,0.12971162796020508,1.288113,0.066629,0.293512,0.24308,0.075056,0.06848
56,health_insurance,synthcity==0.2.9,ctgan_syn,1070,7,1338,cpu,300,92.08684754371643,0.1245267391204834,68.813642,20.388536,0.303692,0.24308,0.085632,0.06848
57,health_insurance,synthcity==0.2.9,tvae_syn,1070,7,1338,cpu,300,94.22195363044739,0.16419672966003418,68.652287,26.911016,0.304001,0.24308,0.085632,0.06848
58,health_insurance,synthcity==0.2.9,goggle_syn,1070,7,1338,cpu,300,105.55470490455627,0.23917150497436523,68.829702,0.918204,0.303434,0.24308,0.085632,0.06848
59,health_insurance,synthcity==0.2.9,arf_syn,1070,7,1338,cpu,0,8.33949875831604,10.92533826828003,83.11032,6.425509,0.303951,0.24308,0.085632,0.06848
60,health_insurance,synthcity==0.2.9,ddpm_syn,1070,7,1338,cpu,5000,284.1381587982178,16.615417957305908,68.001337,3.513178,0.30385,0.24308,0.085632,0.06848
61,health_insurance,synthcity==0.2.9,nflow_syn,1070,7,1338,cpu,3000,62.60964345932007,0.9056694507598877,68.58628,1.185289,0.303471,0.24308,0.085632,0.06848
62,health_insurance,synthcity==0.2.9,rtvae_syn,1070,7,1338,cpu,300,103.12392997741699,0.33281564712524414,68.651949,26.911021,0.303928,0.24308,0.085632,0.06848
63,-99,GREAT,great_llm,1338,7,1338,-99,100,476.2044608592987,6.975155353546143,203.582248,327.7,-99,-99,-99,-99
64,intrusion,GRETEL_0.20.0,actgan_gretel,395216,42,395216,GPU,300,19027.813927173615,63.86280703544617,2236.919641,728.702433,216.179495,219.1915,132.792704,135.954304
65,intrusion,SDV_1.2.1,ctgan_sdv,395216,41,494021,CPU,300,29959.33495783806,72.89357423782349,2176.398364,675.488391,266.429332,216.029772,162.039016,132.792576
66,intrusion,SDV_1.2.1,tvae_sdv,395216,41,494021,CPU,300,15690.425062656403,45.27886772155762,2114.062651,0.958695,266.203013,216.029772,162.039016,132.792576
67,intrusion,SDV_1.2.1,gaussian_copula_sdv,395216,41,494021,CPU,0,186.30975818634033,58.78446102142334,1329.700543,0.367797,266.321682,216.029772,162.039016,132.792576
68,intrusion,synthcity==0.2.9,ctgan_syn,395216,41,494021,cuda,300,34805.18096756935,15.743592739105225,2580.019124,581.768791,270.188552,216.029772,165.991056,132.792576
69,intrusion,synthcity==0.2.9,tvae_syn,395216,41,494021,cuda,300,29892.119398355484,63.209619998931885,2580.030017,586.659151,270.400417,216.029772,165.991056,132.792576
70,intrusion,synthcity==0.2.9,arf_syn,395216,41,494021,cpu,0,1692.388064622879,10478.220126628876,16754.339342,396.806719,270.092557,216.029772,165.991056,132.792576
71,drugs,GRETEL_0.20.0,actgan_gretel,6107,40,6107,GPU,300,279.26747727394104,2.1369104385375977,205.450428,83.327897,10.951319,10.922883,1.954368,2.003096
72,drugs,SDV_1.2.1,ctgan_sdv,6107,40,7634,CPU,300,63133.23685884476,7.662644863128662,1482.101211,947.76468,13.947227,10.922882,2.443008,2.003096
73,drugs,SDV_1.2.1,tvae_sdv,6107,40,7634,CPU,300,1448.4713835716248,1.7040457725524902,1482.099156,6.29876,13.693944,10.922882,2.443008,2.003096
74,drugs,SDV_1.2.1,gaussian_copula_sdv,6107,40,7634,CPU,0,13.805467128753662,1.5316565036773682,22.054215,0.568552,14.258218,10.922882,2.443008,2.003096
75,drugs,synthcity==0.2.9,ctgan_syn,6107,39,7634,cpu,300,1573.181548833847,3.000246286392212,100.286097,34.401091,17.913235,14.296115,2.44288,1.95424
76,drugs,synthcity==0.2.9,tvae_syn,6107,39,7634,cpu,300,1656.4016110897064,1.9386718273162842,100.297189,39.736115,17.886365,14.296115,2.44288,1.95424
77,drugs,synthcity==0.2.9,goggle_syn,6107,39,7634,cpu,300,2117.021192073822,22.239582777023315,97.140948,9.360272,17.903522,14.296115,2.44288,1.95424
78,drugs,synthcity==0.2.9,arf_syn,6107,39,7634,cuda,0,628.5811762809753,202.3473653793335,384.917149,110.356191,17.975886,14.296115,2.44288,1.95424
79,drugs,synthcity==0.2.9,ddpm_syn,6107,39,7634,cuda,5000,1350.1166381835938,110.94382572174072,84.787394,5.055033,17.872297,14.296115,2.44288,1.95424
80,drugs,synthcity==0.2.9,nflow_syn,6107,39,7634,cuda,3000,466.0092828273773,2.9547083377838135,94.918369,3.917555,17.935962,14.296115,2.44288,1.95424
81,drugs,synthcity==0.2.9,rtvae_syn,6107,39,7634,cuda,300,544.5532913208008,1.5018730163574219,100.297019,39.736204,17.912773,14.296115,2.44288,1.95424
82,loan,GRETEL_0.20.0,actgan_gretel,4000,14,4000,CPU,300,202.58366107940674,0.5717618465423584,10.547722,3.899835,0.448128,0.48,0.448128,0.48
83,loan,SDV_1.2.1,ctgan_sdv,4000,14,5000,CPU,300,79.54400062561035,0.41701245307922363,10.730754,4.08813,0.560128,0.48,0.560128,0.48
84,loan,SDV_1.2.1,tvae_sdv,4000,14,5000,CPU,300,55.18127369880676,0.3914930820465088,10.728637,0.447071,0.560128,0.48,0.560128,0.48
85,loan,SDV_1.2.1,gaussian_copula_sdv,4000,14,5000,CPU,0,3.711303234100342,0.3798370361328125,5.018223,0.126137,0.560128,0.48,0.560128,0.48
86,loan,synthcity==0.2.9,ctgan_syn,4000,14,5000,cpu,300,530.132238149643,0.39815258979797363,77.857009,23.225087,0.6,0.48,0.6,0.48
87,loan,synthcity==0.2.9,tvae_syn,4000,14,5000,cpu,300,643.5907096862793,0.6900990009307861,77.835147,29.200421,0.6,0.48,0.6,0.48
88,loan,synthcity==0.2.9,goggle_syn,4000,14,5000,cpu,300,1462.2783780097961,1.9182662963867188,77.688352,3.06543,0.6,0.48,0.6,0.48
89,loan,synthcity==0.2.9,arf_syn,4000,14,5000,cpu,0,219.61087036132812,36.64471769332886,188.404349,44.731028,0.6,0.48,0.6,0.48
90,loan,synthcity==0.2.9,ddpm_syn,4000,14,5000,cpu,5000,943.5830547809601,90.13345170021057,72.263348,3.947958,0.6,0.48,0.6,0.48
91,loan,synthcity==0.2.9,nflow_syn,4000,14,5000,cpu,3000,415.90065741539,8.077032089233398,76.508232,2.285433,0.6,0.48,0.6,0.48
92,loan,synthcity==0.2.9,rtvae_syn,4000,14,5000,cpu,300,802.3990635871887,3.4252002239227295,77.833557,29.200426,0.6,0.48,0.6,0.48
93,loan,GREAT,great_llm,5000,14,5000,GPU,100,2870.9475898742676,35.6428439617157,203.695731,327.7,-99,-99,-99,-99
94,pums,GRETEL_0.20.0,actgan_gretel,828161,36,828161,GPU,300,50401.46908950806,198.96106028556824,9927.379896,3308.896283,284.691334,291.35225,238.510496,245.135656
95,pums,SDV_1.2.1,ctgan_sdv,828161,36,-99,GPU,300,34275.7311797142,190.30722546577454,8131.216867,2639.754827,355.908334,291.35225,298.138304,245.135656
96,pums,SDV_1.2.1,tvae_sdv,828161,36,-99,GPU,300,22887.041172027588,153.78895163536072,8131.214587,0.997506,355.923838,291.35225,298.138304,245.135656
97,pums,SDV_1.2.1,gaussian_copula_sdv,828161,36,-99,CPU,0,691.9807863235474,163.5829598903656,2445.597733,0.322649,355.926141,291.35225,298.138304,245.135656
